"eventtime","eventname"
"2018-11-28T23:09:28Z","ListBuckets"
"2018-11-28T23:09:36Z","GetObject"
"2018-11-28T23:09:36Z","GetObject"
"2018-11-28T23:03:50Z","CreateLogStream"
"2018-11-28T23:03:12Z","AssumeRole"
"2018-11-28T23:03:20Z","CreateLogStream"
"2018-11-28T23:03:13Z","CreateLogStream"
"2018-11-28T23:05:53Z","ListImages"
"2018-11-28T23:03:35Z","CreateLogStream"
"2018-11-28T23:03:12Z","CreateLogStream"
"2018-11-28T23:02:56Z","GetObject"
"2018-11-28T23:03:08Z","GetObject"
"2018-11-28T23:03:11Z","GetObject"
"2018-11-28T23:03:20Z","Invoke"
"2018-11-28T23:06:17Z","BatchGetImage"
"2018-11-28T23:06:33Z","GetDownloadUrlForLayer"
"2018-11-28T23:02:56Z","GetObject"
"2018-11-28T23:02:56Z","GetObject"
"2018-11-28T23:02:56Z","GetObject"
"2018-11-28T23:02:57Z","GetObject"
"2018-11-28T23:03:08Z","GetObject"
"2018-11-28T23:03:08Z","GetObject"
"2018-11-28T23:03:08Z","GetObject"
"2018-11-28T23:03:08Z","GetObject"
"2018-11-28T23:03:11Z","GetObject"
"2018-11-28T23:03:13Z","Invoke"
"2018-11-28T23:03:14Z","GetObject"
"2018-11-28T23:03:17Z","GetObject"
"2018-11-28T23:03:18Z","GetObject"
"2018-11-28T23:04:54Z","ListObjects"
"2018-11-28T23:05:10Z","GetObject"
"2018-11-28T23:05:12Z","GetObject"
"2018-11-28T23:05:12Z","GetObject"
"2018-11-28T23:07:08Z","GetObject"
"2018-11-28T23:07:08Z","GetObject"
"2018-11-28T22:31:59Z","AssumeRole"
"2018-11-28T22:31:59Z","AssumeRole"
